  1000: 0,0019870000000423715
  2000: 0,004875099999992472
  3000: 0,007276499999989028
  4000: 0,010628200000041943
  5000: 0,012541800000008152
  6000: 0,016596199999980854
  7000: 0,019252899999969486
  8000: 0,02247850000003382
  9000: 0,02638969999998153
 10000: 0,029227199999979803
 11000: 0,03201519999998936
 12000: 0,03640619999998762
 13000: 0,038986999999963246
 14000: 0,0415447000000313
 15000: 0,047299199999997654
 16000: 0,04788290000004736
 17000: 0,050104799999985516
 18000: 0,05558969999998453
 19000: 0,05720819999999094
 20000: 0,06418819999998959
 21000: 0,06371749999999565
 22000: 0,06828729999995176
 23000: 0,0741853999999762
 24000: 0,07520560000000387
 25000: 0,07791229999997995
 26000: 0,08032289999999875
 27000: 0,09041339999998854
 28000: 0,09096009999996113
 29000: 0,09317110000000639
 30000: 0,09671769999999924
 31000: 0,11394020000000182
 32000: 0,1104558000000111
 33000: 0,12638839999999618
 34000: 0,10934450000002016
 35000: 0,11169909999995298
 36000: 0,12034540000001925
 37000: 0,11743030000002364
 38000: 0,13888550000001487
 39000: 0,13589319999999816
 40000: 0,143821800000012
 41000: 0,13323669999999765
 42000: 0,13924229999997806
 43000: 0,14848270000004504
 44000: 0,1548629000000119
 45000: 0,15050489999998717
 46000: 0,15236970000000838
 47000: 0,15607499999998709
 48000: 0,1618218000000411
 49000: 0,16293709999996508
 50000: 0,17115260000002763
 51000: 0,19308870000003253
 52000: 0,1861293000000046
 53000: 0,20003969999999072
 54000: 0,19347139999996443
 55000: 0,19876130000000103
 56000: 0,1981965999999602
 57000: 0,21407609999999977
 58000: 0,20922400000000607
 59000: 0,21378470000001926
 60000: 0,2051441000000409
 61000: 0,21086579999996502
 62000: 0,2176971000000094
 63000: 0,21916060000000925
 64000: 0,22290370000001758
 65000: 0,23733690000000252
 66000: 0,2367863999999713
 67000: 0,250033099999996
 68000: 0,23959070000000793
 69000: 0,25735779999996566
 70000: 0,24292020000001457
