  1000: 0,08791510000000358
  2000: 0,3564032000000026
  3000: 0,8279150999999985
  4000: 1,5403829999999914
  5000: 2,3525723999999997
  6000: 3,3686300000000102
  7000: 4,504051799999999
  8000: 6,030968999999999
  9000: 9,132539600000001
 10000: 9,901959300000001
 11000: 11,499210099999999
 12000: 13,503428100000008
 13000: 15,843548900000002
 14000: 18,723502600000018
 15000: 21,21901779999999
 16000: 23,856831400000004
 17000: 27,18204259999999
 18000: 30,90403230000001
 19000: 34,45477679999999
 20000: 38,42044430000004
